scenario,label,total_days,pct_of_total,days_above_overnight_mid,pct_above_overnight_mid,days_above_0609_low,pct_above_0609_low,days_above_18_09_low,pct_above_18_09_low,days_below_overnight_mid,pct_below_overnight_mid,days_below_0609_high,pct_below_0609_high,days_below_18_09_high,pct_below_18_09_high,days_new_high_09_1130,pct_new_high_09_1130,days_new_low_09_1130,pct_new_low_09_1130
1,1,59,4.5630,13,22.0339,29,49.1525,29,49.1525,0,0.0000,0,0.0000,0,0.0000,49,83.0508,0,0.0000
2,2,87,6.7285,30,34.4828,34,39.0805,44,50.5747,0,0.0000,0,0.0000,0,0.0000,73,83.9080,0,0.0000
3,3,180,13.9211,75,41.6667,58,32.2222,114,63.3333,0,0.0000,0,0.0000,0,0.0000,153,85.0000,0,0.0000
4,4,57,4.4084,0,0.0000,0,0.0000,0,0.0000,8,14.0351,28,49.1228,28,49.1228,0,0.0000,40,70.1754
5,5,77,5.9551,0,0.0000,0,0.0000,0,0.0000,27,35.0649,33,42.8571,44,57.1429,0,0.0000,61,79.2208
6,6,105,8.1206,0,0.0000,0,0.0000,0,0.0000,54,51.4286,50,47.6190,76,72.3810,0,0.0000,92,87.6190
7,7 (A),123,9.5128,0,0.0000,33,26.8293,33,26.8293,0,0.0000,0,0.0000,0,0.0000,41,33.3333,0,0.0000
8,8 (B),256,19.7989,40,15.6250,77,30.0781,120,46.8750,0,0.0000,0,0.0000,0,0.0000,167,65.2344,0,0.0000
9,9 (C),192,14.8492,0,0.0000,32,16.6667,49,25.5208,0,0.0000,0,0.0000,0,0.0000,69,35.9375,0,0.0000
10,10 (D),0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
11,11 (E),155,11.9876,46,29.6774,24,15.4839,98,63.2258,0,0.0000,0,0.0000,0,0.0000,106,68.3871,0,0.0000
12,12 (F),2,0.1547,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,50.0000
13,13 (G),0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
14,14 (H),0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
15,15 (I),0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
16,16 (J),0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
17,17 (K),0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
